#Selection names:,"Cell nhfdgkdd-1, Cell nhfbolgj-1"
"#Areas (Âµm^2): 35.22, 52.16"
Selection,X,Y
Cell nhfdgkdd-1,2125.63,12109.31
Cell nhfdgkdd-1,2125.42,12109.51
Cell nhfdgkdd-1,2125.00,12109.51
Cell nhfdgkdd-1,2124.55,12109.73
Cell nhfdgkdd-1,2123.29,12110.99
Cell nhfdgkdd-1,2122.66,12112.28
Cell nhfdgkdd-1,2122.66,12114.18
Cell nhfdgkdd-1,2123.08,12115.03
Cell nhfdgkdd-1,2123.92,12115.89
Cell nhfdgkdd-1,2124.13,12115.89
Cell nhfdgkdd-1,2124.34,12116.11
Cell nhfdgkdd-1,2124.79,12116.11
Cell nhfdgkdd-1,2125.00,12116.33
Cell nhfdgkdd-1,2127.33,12116.33
Cell nhfdgkdd-1,2127.54,12116.11
Cell nhfdgkdd-1,2128.17,12115.67
Cell nhfdgkdd-1,2128.17,12115.25
Cell nhfdgkdd-1,2128.38,12114.62
Cell nhfdgkdd-1,2128.61,12114.40
Cell nhfdgkdd-1,2128.61,12111.84
Cell nhfdgkdd-1,2128.17,12110.99
Cell nhfdgkdd-1,2127.12,12109.95
Cell nhfdgkdd-1,2126.26,12109.51
Cell nhfdgkdd-1,2125.84,12109.51
Cell nhfdgkdd-1,2125.63,12109.31
Cell nhfbolgj-1,2155.59,12071.28
Cell nhfbolgj-1,2155.35,12071.47
Cell nhfbolgj-1,2153.02,12071.47
Cell nhfbolgj-1,2152.82,12071.69
Cell nhfbolgj-1,2152.19,12071.91
Cell nhfbolgj-1,2151.75,12071.91
Cell nhfbolgj-1,2150.69,12072.76
Cell nhfbolgj-1,2150.29,12073.61
Cell nhfbolgj-1,2150.29,12075.92
Cell nhfbolgj-1,2150.49,12076.14
Cell nhfbolgj-1,2150.69,12077.00
Cell nhfbolgj-1,2151.55,12077.85
Cell nhfbolgj-1,2151.95,12077.85
Cell nhfbolgj-1,2152.19,12078.07
Cell nhfbolgj-1,2153.65,12078.07
Cell nhfbolgj-1,2153.89,12078.29
Cell nhfbolgj-1,2155.35,12078.29
Cell nhfbolgj-1,2155.59,12078.07
Cell nhfbolgj-1,2156.42,12077.85
Cell nhfbolgj-1,2157.49,12077.00
Cell nhfbolgj-1,2158.35,12075.73
Cell nhfbolgj-1,2158.79,12074.88
Cell nhfbolgj-1,2158.79,12072.32
Cell nhfbolgj-1,2157.49,12071.28
Cell nhfbolgj-1,2155.59,12071.28